OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_174918,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174920,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174921,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174928,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174930,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_174936,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174939,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174948,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174949,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174954,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus monachus
OTU_174955,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174957,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,s_
OTU_174958,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174963,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174966,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174969,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus monachus
OTU_174970,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_174972,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174973,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_174979,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus subcrassus
OTU_174981,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_174991,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_174992,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174993,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_174999,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175002,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_175010,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_175015,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_175025,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_175026,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_175029,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175031,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175033,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175044,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175045,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175046,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_175070,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_175071,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_175075,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_175084,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
