#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_129	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Amphipoda; f__Lestrigonidae; g__Phronimopsis; s__Phronimopsis spinifera
OTU_130	1809	1270	802	154	211	106	94	0	234	14	111	23	26	1	1	8	357	3	314	1	0	k__Eukaryota; p__unknown; c__Dinophyceae; o__Pyrocystales; f__Pyrocystaceae; g__Pyrocystis; s__Pyrocystis noctiluca
OTU_136	0	0	0	0	0	0	0	0	0	18	0	2506	0	2599	129	223	0	5	0	157	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Euphausia; s__Euphausia tenera
OTU_137	3197	985	23	78	35	0	0	5	8	7	0	33	47	0	0	851	51	288	34	872	0	k__Eukaryota;p__;c__;o__;f__;g__;s__
OTU_138	0	0	0	0	1	0	0	0	0	0	0	0	3930	6	0	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae;g__;s__
OTU_140	0	643	3547	283	952	727	306	9	16	16	239	181	560	0	0	167	999	74	1189	160	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Mesocalanus; s__Mesocalanus tenuicornis
OTU_141	0	0	0	0	0	0	0	0	1	0	0	0	0	6	3566	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae;g__;s__
OTU_142	0	0	0	0	0	0	0	0	0	0	0	0	4	12	5606	22	0	0	0	20	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Trachymedusae; f__Geryoniidae; g__Liriope; s__Liriope tetraphylla
OTU_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4183	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Eucalanus; s__Eucalanus subtenuis
OTU_147	331	4413	3	971	2321	1279	1305	0	0	0	429	0	0	0	0	0	10	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus lividus
OTU_148	3002	544	682	122	0	1	7	0	2	0	0	0	0	0	0	0	909	0	385	0	0	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__Clavispora; s__Clavispora lusitaniae
OTU_149	0	0	0	0	57	3	4	157	2027	8	384	2082	36	41	1	0	3	0	0	0	0	k__Eukaryota; p__unknown; c__Dinophyceae;o__;f__;g__;s__
OTU_154	0	0	0	0	0	0	0	0	6	293	1	3484	86	41	340	262	0	11	0	198	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Diphyidae; g__Eudoxoides; s__Eudoxoides mitra
OTU_155	0	0	0	0	0	0	0	0	0	0	0	3978	0	0	0	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Decapoda; f__Calappidae; g__Platymera; s__Platymera gaudichaudii
OTU_157	155	788	14	7	2531	412	50	0	0	282	0	0	143	1	0	0	5	0	0	0	0	k__Eukaryota; p__Annelida; c__Polychaeta; o__Spionida; f__Chaetopteridae; g__Phyllochaetopterus; s__Phyllochaetopterus prolifica
OTU_159	0	0	3419	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1308	0	0	k__Eukaryota; p__Ctenophora; c__Nuda; o__Beroida; f__Beroidae; g__Beroe; s__Beroe forskalii
OTU_160	0	0	0	0	0	0	0	0	5631	0	0	0	0	0	0	0	0	0	0	0	0	k__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Sardinops; s__Sardinops sagax
OTU_161	0	0	0	0	0	0	0	0	1876	99	36	1649	52	0	0	44	0	215	0	56	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Candaciidae; g__Candacia; s__Candacia curta
