,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC9,UC10,UC12,UC13,UC14,UC15,GOC2a,GOC2b,CP23,UC3_2,CP23_2,UC3_1,CP23_1,NTC_2
OTU_10369,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
OTU_10370,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
OTU_103734,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103753,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103760,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0
OTU_1038,0,0,0,0,0,0,0,134,0,21,0,298,6,0,0,42,0,8,0,29,0
OTU_103824,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103825,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10387,0,0,0,0,0,0,0,0,20,0,0,0,2,3,0,9,0,0,0,3,0
OTU_10388,0,0,0,0,0,0,0,0,0,1,0,50,2,1,0,1,0,0,0,8,0
OTU_103925,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
OTU_103964,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103965,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103966,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_103968,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_103970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_103971,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
