"","UC1","UC2","UC3","UC4","UC5","UC6","UC7","UC9","UC10","UC12","UC13","UC14","UC15","GOC2a","GOC2b","CP23","UC3_2","CP23_2","UC3_1","CP23_1"
"OTU_101639",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101640",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_101646",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_101656",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_101668",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101674",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101687",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101694",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_101700",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101704",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101710",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101719",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_101731",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101737",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_101743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_101755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"OTU_101756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_101757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_101758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_101770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_101784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_101788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_101792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_101793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_101811",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101821",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101826",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"OTU_101845",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_101849",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_101864",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101866",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101868",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101871",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101880",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101881",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101883",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
